ID;MSLG
839;MI MAMÁ CATÓLICA
610;NECESITAR EJERCICIO EJERCICIO PARA SALUD
916;SIEMPRE MI FAMILIA TELETÓN DONAR DONAR
262;YO NO GUSTAR ARAÑA
213;DISFRAZ HACER. PAPEL
306;YO CONFUNDIR TI TU MAMÁ USTEDES-DEDOS PARECIDOS
688;HOMBRE DUEÑO DENTRO ESA FÁBRICA ANTES ÉL ACUSAR ENRIQUECIMIENTO-ILÍCITO
134;HACE-PASADO CRISTÓBAL-COLÓN DESCUBRIR AMÉRICA
679;SUYO SECRETO YO YA DESCUBRIRSE YA
854;MI PAPÁ CINTURÓN YO REGALAR ÉL
61;BANDERA MEXICANA TENER TRES COLORES
80;PERSONAS SORDAS TENER SU DERECHO EDUCACIÓN BILINGÜE
490;YO GUSTAR PAPA
19;CITA DOCTOR ESCRIBIR ANOTAR-AGENDA
93;¡BUENA NOCHE TÚ DESCANSAR!
530;AYER METRO AMETRALLADORA SOLDADO YO VER
423;CACAHUATES CON LIMÓN SAL YO ENCANTA COMER
784;POLLO YO QUERER COMER
765;TÚ CUIDAR MUCHO MAÑANA VERNOS
849;CHIMENEA TÚ ENCENDERfuego
846;CHARLES-MICHEL-L´ÉPÉE PADRE SORDO
265;ESA MÁQUINA FALLA COMPONER NECESITA
630;TÚ SUERTE OJALÁ
7;PERSONA ÉL ABOFETEAR MÍ
305;MI COMPUTADORA PRENDER NO YO PREOCUPADO
394;TODO CORREO-ELECTRÓNICO USAR ARROBA
696;AYER YO YA IR GALERÍA
136;TIENDA CERCA DOS CUADRAS
507;MI HERMANO SUYA NOVIO+MUJER SEPARAR YA
69;dm-CÉSAR SU BEBÉ BONITO
538;HOY WAL-MART BOMBA AIRE PARA MI PAPÁ YA YO COMPRAR
561;SIEMPRE CUANDO ACABAR BAÑAR YO PONER-DESODORANTE
266;YA ELLOS ARRESTAR ÉL
60;AYER BANCO dm-ROCÍO DINERO RETIRAR
370;¿TÚ CREER TODOS ALMA TENER?
901;MAÑANA MI TÍO MUDARSE CASA
367;DIARIO ALABANZA DIOS, NOSOTROS HACER
799;VILLAHERMOSA MUCHO CALOR
359;ADMINISTRACIÓN DELEGACIÓN ELLOS IR
967;YO NO-FUI VIDRIO ROMPER ROMPER
230;SEÑORA dm-MARÍA TENER COCINA
690;YO CREER ESPÍRITU SANTO
113;TODO PRODUCTO CÓDIGO-DE-BARRAS ETIQUETA HABER
881;HACE-TIEMPO ENRIQUE-PEÑA-NIETO GOBERNADOR ESTADO-DE-MÉXICO
403;COMPETENCIA ATLETISMO MI AMIGO+MUJER YA INSCRIBIRSE
465;ANTES CANCÚN IDA-Y-VENIR
295;YO DOLOR ESPALDA PORQUE AYER MUEBLE YO CARGAR
365;JUGUETE MI AHIJADO YO REGALAR ÉL YA
911;TÚ NO PREOCUPAR DEJARLO-ASÍ
803;MAÑANA TRABAJO dm-JUAN YO NOSOTROS-DE-DOS ACOMPAÑAR
716;COLOR GRIS YO GUSTAR
525;TODO AFORTUNADO
885;NOSOTROS-DE-DOS TERMINAR-COMO-AMIGOS
340;¡AY! SORPRESA AQUÍ YO VER TI
962;CAMPESINO MAÍZ SEMBRAR
84;dm-DAVID SU PAPÁ BOMBERO
676;MAÑANA YO DINERO DEPOSITAR BANCO
400;FILIPINAS SUYO ASIA
790;TÚ DEBER SEGUIR ESTUDIAR
369;DIARIO MI VECINO IR ALCOHÓLICOS-ANÓNIMOS
976;HERMANO ÚLTIMO DOCTOR-DIENTES
836;ANTES PRESIDENTE MÉXICO ¿QUIÉN? CARLOS-SALINAS-DE-GORTARI
304;¿DÓNDE TUYO CÓMPLICE DÓNDE?
469;ISLANDIA DÓNDE LUGAR EUROPA
62;BANDERA CAER MIENTRAS CEREMONIA
453;YO CONOCER ÉL BIEN YA YO VER ÉL CONSTA
899;JABÓN BURBUJAS
875;CRISTIANA YO CREER FE
652;AMETRALLADORA DIFERENTE YO NO-GUSTAR
18;NOSOTROS IR JUGAR AFUERA
206;ALBERCA YO NADAR
5;PERRO DEBAJO MESA
692;METRO LÍNEA NÚMERO 12 FALLO CONSTRUIR ARREGLAR
497;HOMBRE MUJERIEGO MUCHO
519;NOSOTROS FUTBOL JUGAR GANAR ¡VIVA!
131;JOVEN HOMBRE CORTEJA ELLA SU NOVIO+MUJER
888;¿CUÁNTOS MÉXICO-NACIONAL SORDOS HABER?
97;MI HERMANO BICICLETA ÉL CAER
738;LEGISLADOR YA PROPONER NUEVA LEY LSM
622;VENTANA FILA GOBIERNO TRÁMITE ENTREGAR PAPEL DEBER PONER-SELLO
190;dm-MARÍA LOTERÍA GANAR AHORA MILLONARIA ELLA
862;MAÑANA COMBI YO IR A MI CASA
728;TU INE TÚ DEBER MOSTRAR PARA PERMISO PASAR
273;¿DÓNDE BALÓN DÓNDE?
472;FÁCIL APRENDER LETRA ABECEDARIO
260;APENAS, YO VER TI
557;AYER dm-JOSEFINA, dm-ALBERTO AMBOS DADOS JUGAR
280;SÍ YO GUSTAR JUGAR BOLICHE
168;FRECUENTEMENTE YO IR CINE
282;YO VER BIEN YO BORROSO
906;REFRIGERADOR HABER COMIDA CADUCADA
853;DECIR CHISME DIRECTOR ESO NO CIERTO
297;ELLA LLORAR PORQUE CEBOLLA PICAR
832;UNA-VEZ MAÑANA FIESTA CANTAR
761;NUESTRA CITA LUGAR TAXQUEÑA
617;SECRETARIA ELLA COMPUTADORA CARTA ARCHIVO
139;MI AMIGO dm-RODOLFO DADIVOSO
643;dm-NOEMÍ YA ULTRASONIDO PARA SABER SUYO BEBE NIÑO NIÑO+MUJER
355;NOSOTROS TENER MUCHA ACTIVIDAD DIFERENTE ESCUELA
528;ALGUIEN ÉL AYUDAR MÍ
37;MAESTRO ALUMNOS REUNIÓN APARTE
868;AYER CONSTANCIA SECUNDARIA ELLOS DAR MÍ
671;ESA PERSONA COLMILLO TÚ CUIDAR
301;JUGUETE CARRO YO GUSTAR COLECCIONAR
