ID;SPA
344;Estuviste a salvo de caer en la coladera.
822;El calendario de la SEP termina en agosto.
473;Debes cambiar la llanta del coche.
628;Alicia viajó a Sudáfrica.
83;Santiago guarda en su bolsillo una moneda.
212;En la mochila roja hay dos pañales.
349;Mi abuela tiene 90 años.
855;Mi auto no tiene cinturón de seguridad.
554;Ese muchacho es muy buen corredor.
468;Los colores de la bandera de Irán son verde blanco y rojo.
596;En la TV hay mucha publicidad.
570;Mi tío vive en la frontera, en Tijuana.
326;Aimé saltó en paracaídas.
977;Edgar será maestro.
106;El policía cedió el paso a la ambulancia.
261;Yo quiero aprender muchas cosas.
82;Perdí el suéter blanco.
964;No termino mi tarea todavía.
721;Guerrero es un estado bonito.
524;Ellos admiran a la cantante Madonna.
240;Él ya abusó mucho de mí.
22;Ahora tú limpia tu recámara.
173;Eso no cuesta nada, es gratis.
544;Mi amiga y su novio van los sábados al casino.
416;Vamos al parque de Azcapotzalco.
374;Yo vivo en la Delegación Álvaro Obregón.
534;Berlín es la capital de Alemania.
797;La Universidad Gallaudet es muy famosa.
0;¿Por qué llegaste tarde?
866;El Congreso aprobó la nueva ley.
244;Tú ya debes ser responsable, ya eres un adulto.
760;Ese carro nuevo es muy lujoso.
782;Hay muchos policías en la manifestación.
838;Mi hermana se casa el próximo domingo.
904;Las próximas vacaciones iré de viaje a Ciudad Obregón.
589;No debes ser malo.
648;Los zapatos del payaso son amarillos.
771;Ojalá tengas éxito.
540;Hay hojas blancas en el cajón.
755;¿Dónde está tu local?
452;Mi cronómetro se perdió.
119;El domingo me iré a confesar a la iglesia.
386;Tomás fue un apóstol de Jesús.
38;Con Juan, es un asunto aparte.
77;Arturo lee la biblia diariamente.
318;No te enojes, por favor.
615;En la TV vi una noticia fea que pasó en Santiago de Chile.
719;El año pasado viajé a Guanajuato.
791;Mi hermana practica snorkeling.
756;Ese hombre parece loco.
979;La sopa está caliente.
4;¿Qué te pasó?
937;El papa regañó a los obispos en México.
281;Eso es muy bonito, sí me gusta.
953;Mi papá llena el formato para tramitar su licencia de manejo.
51;Maribel cursa el nivel avanzado en el diplomado.
405;Dicen que en Australia hay muchos canguros.
15;Adolfo López Mateos fue presidente de México.
456;Ya dime la verdad, no eludas la pregunta.
216;Miguel tiene dolor en el pecho.
108;Mi abuela hace un chocolate muy rico.
662;Brasilia es bonita.
228;Juana sabe LSM.
807;La almohada es muy cómoda para dormir.
872;Muchas personas creen en el Corán.
250;Eso es muy suave, parece algodón.
946;Mi primo ganó medalla de oro en el maratón.
766;Te aviso, me las vas a pagar.
373;Él es un buen alumno.
681;Necesito dinero para poder pagar la gasolina.
218;La caja pequeña es de color rojo.
674;Le pusieron la corona de olivo.
711;La comida tiene mucha grasa.
516;Hay una tortuga en la playa.
357;En la biblia está el nombre de Adán.
636;Yo pago con mi tarjeta de crédito.
387;¿Cómo haces la seña de apóstoles?
891;Él abandonó a su hijo.
377;Siempre que rezo digo amén.
579;Mi compañero de trabajo insiste en hacer una fiesta.
834;Ella tiene una cara bonita.
148;Él siempre está muy distraído.
231;Esta servilleta está sucia.
257;Los animales son muy bonitos en verdad.
623;La semana pasada fui a Plaza Universidad.
87;Bosnia y Herzegovina es un país muy lejano.
499;Hoy mi celular ya tiene saldo.
900;Ella tiene cabello lacio.
532;El año pasado terminé la universidad.
460;Estonia tiene una frontera con Rusia.
565;En el mercado venden muchas escobas baratas.
920;Pablo es flojo.
783;La policia judicial nos protege.
107;Raúl entrena los sábados en CEPAMEX.
694;Él hace mucho ejercicio para fortalecerse.
594;Mi mamá cocina en la olla express caldo de pollo sabroso.
436;La semana pasada compré cinta canela en el Centro.
605;En la fábrica de Sabritas buscan personal para trabajar.
397;La Constitución tiene muchos artículos.
727;Hungría es un país que está muy lejos.
470;Fui a comprar jabón a la tienda.
319;El escudo de la bandera de México es muy bonito.
225;La próxima conferencia será en Monterrey.
233;María y Daniel van al teatro.
689;Mi abuelo tiene un rifle viejo.
762;Ella tiene una lunar bonito.
242;Ayer no me dijiste adiós.
693;El cuaderno es feo.
744;La ley prohíbe robar.
55;A Mariana le gusta bailar.
381;Antier fui a un concierto de Magneto en el Palacio de los Deportes.
896;El payaso usa mucho maquillaje.
809;Ayer mi mamá preparó atole.
199;Me pasé un semáforo, ahora tengo que pagar una multa.
968;Súbete a la montaña rusa, no seas cobarde.
919;Estoy emocionado por ingresar a mi nuevo trabajo.
974;Miguel fue mi novio.
28;Sara encontró muchas almejas en el mar.
963;Mi perro es sumiso, no molesta.
133;Me gustan las fresas con crema.
378;En la iglesia decimos amén.
505;El perro tiene mucha sed.
101;Mi trabajo es muy cansado.
804;Tengo que acostumbrarme a despertarme a correr temprano.
634;Caminemos hacia el sur para encontrar agua.
575;Nosotros abrimos el horno para meter los pasteles.
392;Mi novio nació en Argentina.
918;Mi viaje a Francia me emocionó.
493;El policía persigue a un joven.
732;José aprende la lengua de Italia.
650;¡Del susto se me escapó el alma!
604;El sábado pasado hubo un grave accidente en la carretera.
537;Mete en la bolsa las cosas que compraste en la tienda.
506;Él y yo ya nos separamos.
878;En Cuba hace mucho calor
284;Esa piedra está muy bonita, brilla mucho.
454;No quiero nada.
337;Miguel quiere declarse a su amiga, pero no se atreve.
735;En Chapultepec hay un lago.
298;El niño ve un mono en el zoológico.
334;Mi novio y yo vemos películas con subtítulos.
31;Nosotros nos encontraremos mañana al amanecer.
640;Tira la basura.
352;Yo fui a levantar un acta a la delegación.
145;Si llego tarde al trabajo, me pueden despedir.
463;Hoy es mi cumpleaños.
353;Mi amigo Julio tiene un acta de demanda.
739;Las lenguas más habladas son el chino, el inglés y el español.
67;Los pavos son la comida básica en Navidad
947;La noche está muy oscura.
466;La India es el séptimo país más grande del mundo.
356;Tom Cruice es un actor muy famoso.
489;Yo voy a la panadería.
969;En suburbano se viaja más rápido.
675;Tengo un partido en el Deportivo Galeana.
245;Mañana voy a viajar a África.
909;Mi hermano no me dio pastel ayer.
927;El vecino me pidió mover mi carro.
368;A mí no me gusta el alcohol.
768;Nos vemos mañana en la noche.
26;Todos en la iglesia gritan ¡aleluya!
687;La Ciudad de México es enorme.
195;Mi amiga es modelo de una revista.
599;El deportista de rafting es joven.
125;Convencí a mi amigo de ir a la fiesta.
50;La construcción de la escuela ya está avanzada.
65;El barco llegó en la mañana.
235;José se enfermó de tos en invierno.
576;La semana pasada mi papá cortó la hierba con la hoz.
895;Ellos siempre discuten.
227;Ellos rebanaron la pizza en ocho partes.
796;Mi hermana no nació en Texas.
275;Yo conozco Bangladesh, es muy bonito de verdad.
769;Ese vestido es feo, no me gusta.
788;Voy al banco a retirar dinero.
857;Juan Gabriel nació en Ciudad Juárez.
513;Ya suspendieron mi número de teléfono.
3;¿Y eso?
404;Tu sobrino está atrás de mi esposo.
710;Nosotros aprendemos gramática en la escuela.
253;Tú estás embarazada, después vas a amamantar.
566;En diciembre muchas personas van a esquiar.
558;Tu esposo siempre me da el avión en todo.
331;Ese gato blanco rasguña.
597;El gobernador colocó mucha publicidad por las calles.
512;Ayer compré un suéter.
614;Alguna persona que quiera donar sangre puede venir al hospital.
314;Él compró esa televisión de contado.
86;Borré los contactos de mi teléfono.
944;Mi primo vive en Orizaba.
880;Ayer entregué el enganche de mi auto.
379;Algunas personas son analfabetas.
588;Usa maleta de ruedas mejor, no lastima el cuerpo.
573;Hoy fuí al zoológico y vi un gorila.
435;El suegro de mi primo Samuel es ciego.
406;Austria es un país hermoso.
488;Compra pan bolillo.
801;Él desea conquistar a una mujer, pero tiene miedo de que lo abandonen.
798;La vagina es un órgano femenino.
449;Yo no viajo contigo.
122;Yo acaricio a mi gato, él es muy tranquilo.
424;En la escuela cada niño tiene una computadora para trabajar.
6;No me abofetees.
269;Me asusto con las arañas, me dan miedo.
839;Mi mamá es católica.
610;Es necesario hacer ejercicio para estar sano.
916;Mi familia siempre dona a Teletón.
262;A mí no me gustan las arañas.
213;El disfraz está hecho de papel
306;Te confundo a ti y a tu mamá porque se parecen.
688;El dueño de esa fábrica fue acusado de enriquecimiento ilícito.
134;Cristóbal Colón descubrió América hace años.
679;Ya descubrí su secreto.
854;Le regalé un cinturón a mi papá.
61;La bandera mexicana tiene tres colores.
80;Las personas sordas tienen derecho a una educación bilingüe.
490;Me gustan las papas.
19;El doctor anota la cita en la agenda.
93;¡Buenas noches, que descanses!
530;Ayer en el metro vi a un soldado con su ametralladora.
423;Me encanta comer cacahuates con limón y sal.
784;Quiero comer pollo.
765;Cuídate mucho, nos vemos mañana.
849;Enciende la chimenea.
846;Charles-Michel de l’Épée es el “Padre de los Sordos”.
265;Esa máquina falla mucho, se necesita que la compongan.
630;Deseo que tengas mucha suerte.
7;Esa persona me abofeteó.
305;Mi computadora no prende, estoy preocupado.
394;Todos los correos usan arroba.
696;Ayer fui a la galería.
136;La tienda más cercana está a dos cuadras.
507;Mi hermano terminó con su novia.
69;El bebé de César es muy bonito.
538;Hoy compré en Wal-Mart una bomba de aire para mi papá.
561;Cuando me acabo de bañar siempre me pongo desodorante.
266;Ellos lo arrestaron.
60;Rocío retiró dinero ayer en el banco.
370;¿Crees que todos tenemos alma?
901;Mi tío se mudará de casa mañana.
367;Todos los días hacemos alabanzas a Dios.
799;En Villahermosa hace mucho calor.
359;Ellos fueron a la administración de la delegación.
967;Yo no fui el que rompió el vidrio.
230;La señora María tiene una cocina.
690;Yo creo en el Espíritu Santo.
113;Todos los productos se etiquetan con un código de barras.
881;Enrique Peña Nieto fue gobernador del Estado de México.
403;Mi amiga se inscribió en una competencia de atletismo.
465;Fui a Cancún de ida y vuelta.
295;Me duele la espalda porque ayer cargué un mueble.
365;Le regalé un juguete a mi ahijado.
911;No te preocupes, déjalo así.
803;Mañana Juan y yo nos acompañaremos al trabajo.
716;Me gusta el color gris.
525;Tú eres muy afortunado en todo.
885;Terminamos como amigos.
340;¡Ay! qué sorpresa verte aquí.
962;El campesino siembra maíz.
84;El papá de David es bombero.
676;Mañana voy a depositar el dinero en el banco.
400;Filipinas está en Asia.
790;Debes seguir estudiando.
369;Mi vecino va diario a Alcohólicos Anónimos.
976;Mi hermano menor es dentista.
836;¿Quién fue el presidente de México? Carlos Salinas de Gortari.
304;¿Dónde está tu cómplice?
469;Islandia se encuentra en Europa.
62;La bandera se cayó durante la ceremonia.
453;Yo lo conozco bien, me consta.
899;El jabón hace burbujas.
875;Yo creo en la fe cristiana.
652;A mí no me gustan las ametralladoras.
18;Vamos a jugar afuera.
206;Yo nado en la alberca.
5;El perro está debajo de la mesa.
692;La línea 12 del metro tuvo un gran fallo estructural.
497;Hay muchos hombres mujeriegos.
519;Ganamos el partido de futbol, ¡viva!
131;El muchacho corteja a su novia.
888;¿Cuántos sordos hay en México?
97;Mi hermano se cayó de la bicicleta.
738;El legislador propuso una nueva ley de LSM.
622;Entrega el trámite en la ventanilla de gobierno, deben poner un sello.
190;María ganó la lotería, ahora es millonaria.
862;Mañana me iré en combi a mi casa.
728;Debes mostrar tu INE para poder pasar.
273;¿Dónde hay un balón?
472;Es fácil aprender las letras del abecedario.
260;Apenas te vi (hace poco).
557;Josefina y Alberto jugaron dados ayer.
280;A mí sí me gusta jugar boliche.
168;Frecuentemente voy al cine.
282;No veo bien, veo borroso.
906;En el refrigerador hay comida caducada.
853;El rumor sobre el director no era cierto.
297;Ella llora porque pica cebolla.
832;Mañana sólo cantaré una canción en la fiesta
761;Nuestra cita es en Taxqueña.
617;La secretaria está capturando la carta.
139;Mi amigo Rodolfo es muy dadivoso.
643;Noemí se hizo un ultrasonido para saber si su bebé era niño o niña.
355;Nosotros tenemos muchas actividades en la escuela.
528;Algunas personas son voluntarias en la Cruz Roja.
37;El maestro se reunió aparte con sus alumnos.
868;Ayer me dieron la constancia de la secundaria.
671;Esa persona es astuta, ten cuidado.
301;Me gusta coleccionar carros de juguete.
