ID,SPA,MSLG
323,Debes esforzarte mucho para alcanzar tu meta.,MUCHO ESFUERZO TÚ DEBER META TÚ ALCANZAR
697,Me gustan las galletas Gamesa.,YO GUSTAR GALLETA DIFERENTE GAMESA
635,Taiwán es una isla.,TAIWÁN ISLA
450,Tu control de videojuego se descompuso la semana pasada.,SEMANA PASADA TUYO CONTROL-DE-VIDEOJUEGO DESCOMPONERSE
184,Quiero una mesa nueva.,MESA NUEVA YO QUERER
430,Yo nací por cesárea.,CESÁREA YO NACER YA
668,MI Mí familia y yo fuimos a Celaya.,CELAYA MI FAMILIA NOSOTROS-DE-DOS YA IR
518,Las mujeres tienen vágina.,MUJER TENER VÁGINA
811,Yo limpié la azotea de la casa.,CASA AZOTEAarriba YO LIMPIAR YA
682,Perdí mi nuevo CD.,NUEVO CD YO YA PERDER
486,Tengo otro libro.,OTRO LIBRO YO TENER
259,"Por favor, apaga la luz.",APAGAR LUZ POR-FAVOR
612,Quiero ir a estudiar el próximo año la universidad en San Diego.,PRÓXIMO AÑO YO IR UNIVERSIDAD ESTUDIAR LUGAR SAN DIEGO
510,Vamos a correr ponte la sudadera.,PONTE-SUDADERA NOSOTROS IR CORRER
685,No traigo efectivo.,EFECTIVO NINGÚN YO TRAER
889,Ana abandonó a su perro.,dm-ANA SUYO PERRO ABANDONAR YA
135,En Cancún hay un crucero.,CANCÚN HABER CRUCERO
200,Visité el mural de Diego Rivera.,YO YA VISITAR MURAL dm-DIEGO-RIVERA
708,El gobierno cuida a los ciudadanos.,GOBIERNO CUIDAR PERSONA
965,Vivir en Estados Unidos es difícil.,ESTADOS UNIDOS DIFÍCIL VIVIR
146,La casa de mi amigo está detrás de la mía.,CASA AMIGO DETRÁS MI CASA
204,Los alumnos cantan el himno nacional los lunes.,TODOS-LUNES ALUMNOS CANTAR HIMNO NACIONAL
972,Con la lluvia el tubo se rompió.,LLUVIA TUBO ROMPER
182,Yo quiero menos comida.,COMIDA MENOS YO QUERER
251,"Compré una almohada nueva, ¡qué suerte!",NUEVA ALMOHADA YO YA COMPRAR ¡SUERTE!
863,Compraré la cena de Navidad en la Comercial Mexicana.,COMERCIAL MEXICANA YO COMPRAR CENA NAVIDAD
751,Ayer perdí mi liga.,AYER YO PERDER MI LIGA
850,En China hay sobrepoblación.,CHINA HABER MUCHAS PERSONAS
217,Pienso estudiar odontología.,ODONTOLOGÍA YO PENSAR ESTUDIAR
494,La mesa de fierro está muy pesada.,MESA FIERRO PESADO
939,Es tu obligación pagar impuestos.,IMPUESTOS PAGAR TUYO OBLIGACIÓN
600,Quiero comprar una rasuradora.,RASURADORA YO QUERER COMPRAR
293,El capitán del barco es muy inteligente.,BARCO CAPITÁN él INTELIGENTE
311,No te juntes con personas enfermas te pueden contagiar.,ELLOS PERSONA ENFERMO TU ENFRENTARSE TÚ CONTAGIAR PODER
165,Estudiamos para el examen.,NOSOTROS PARA EXAMEN NOSOTROS ESTUDIAR
412,La semana pasada pedí un aventón a la caseta.,SEMANA PASADA YO PEDIR AVENTÓN LUGAR CASETA
451,El sapo se convirtió en príncipe.,SAPO YA CONVERTIR PERSONA PRÍNCIPE
363,Mi hermano revisa su agenda diario.,DIARIO MI HERMANO AGENDA REVISAR
502,Mi hijo reprobó el sexto de primaria.,SEXTO-Primaria MI HIJO YA REPROBAR
924,Mi primo ingresó a la universidad.,MI PRIMO UNIVERSIDAD YA INGRESAR
541,En la iglesia hay una campana muy grande.,IGLESIA CAMPANA GRANDE
823,¡El café está muy caliente!,¡CAFÉ CALIENTE!
361,Los Adventistas descansan los sábados y adoran a Dios.,ADVENTISTA TODOS-SÁBADOS DESCANSAR ELLOS DIOS ADORAR
619,Voy a estudiar hasta secundaria y después quiero trabajar.,YO ESTUDIAR HASTA SECUNDARIA DESPUES TRABAJAR YO DESEAR
547,En Nezahualcóyotl hay muchos cholos,NEZAHUALCÓYOTL MUCHO CHOLO
43,Rosalía trabaja en el archivo del hospital.,dm-ROSALÍA TRABAJAR ARCHIVO HOSPITAL
307,"Ya tengo trabajo, estoy contento.",YO TENER TRABAJO YA CONTENTO YO
931,No hay nadie en mi casa los domingos.,DOMINGOS DOMINGOS MI CASA NO-HAY-NADIE
712,Él está muy grave.,ÉL GRAVE
71,En Bélgica hay dos lenguas de señas: VGT y LSFB.,"#VGT, #LSFB AMBOS SU LENGUA-DE-SEÑAS SU PAÍS BÉLGICA"
631,En Suiza se hablan diferentes idiomas.,SUIZA DIFERENTE DIFERENTE IDIOMA HABLAR
539,Salvador entrena box diario en el parque.,DIARIO PARQUE dm-SALVADOR BOX EJERCER
536,"En diciembre del año pasado, mi jefe viajó a Bogotá.",AÑO-PASADO DICIEMBRE BOGOTÁ MÍ JEFE VIAJAR
256,"Ese profesor siempre está amargado, ¡qué feo!",ESE PROFESOR SIEMPRE AMARGADO ESO ¡FEO!
633,Yo compro carne en el supermercado.,CARNE YO COMPRAR SUPERMERCADO
795,Acostumbro usar taxi siempre.,SIEMPRE YO ACOSTUMBRAR SUBIR-COCHE TAXI
747,Ese libro me gusta.,ESE LIBRO YO GUSTAR
446,Ayer mi primo conquistó a mi amiga en el cine.,AYER CINE MI PRIMO YA ÉL CONQUISTAR ELLA MI AMIGO+MUJER
117,La medicina es una carrera que exige concentración.,CARRERA MEDICINA CONCENTRACIÓN A-FUERZA
686,Todas las enfermeras del hospital son muy amables.,HOSPITALacá TODA ENFERMERA AMABLE
110,Soy muy bueno para los clavados.,YO CLAVADO HÁBIL YO
154,Mi hermana está embarazada.,MI HERMANO+MUJER YA EMBARAZADA
358,Adán es el primer hombre creado por Dios en el mundo.,ADÁN PRIMER HOMBRE MUNDO DIOS HACER
348,El cumpleaños de mi tía es en abril y le haremos fiesta.,ABRIL CUMPLEAÑOS MI TÍO+MUJER NOSOTROS HACER FIESTA
806,Compré una almohada nueva para la cama.,YO YA COMPRAR NUEVA ALMOHADA PARA CAMA
876,El maltrato animal es un crimen.,MALTRATO ANIMAL CRIMEN
211,Luis fue de vacaciones a Panamá.,VACACIONES dm-LUIS IR PANAMÁ
346,Yo abandoné a mi hijo.,MI HIJO YO ABANDONAR
913,Vivir en el desierto es difícil.,DESIERTO DIFÍCIL VIVIR
312,Compré este celular ayer pero está muy corriente.,AYER ESTE CELULAR YO YA COMPRAR PERO CORRIENTE
702,Mi generación se graduó el año pasado.,AÑO-PASADO MI GENERACIÓN GRADUAR
63,Voy al baño.,YO IR BAÑO
691,Él es mi ex novio.,ÉL MI EX NOVIO
898,Mi amigo me besó en el cine.,CINE MI AMIGO ÉL BESAR MÍ YA
717,¿Cuál es el número de tu grupo?,¿TÚ GRUPO NÚMERO CUÁL?
419,Mañana habrá descuentos en bolsas de mano en Liverpool.,MAÑANA LIVERPOOL HABER DESCUENTO BOLSA-MANO
399,Tokio se ubica en Asia.,LUGAR TOKIO SU ASIA
208,No hay dulces en el frasco.,FRASCO DULCES NO-HAY
970,"En el table dance, las mujeres bailan sobre la mesa",TABLE-DANCE MUJER DIFERENTE BAILA MESA
587,Puedes llevar una maleta.,MALETA TÚ PODER LLEVAR
495,Los niños tienen piojos.,NIÑO NIÑO TENER PIOJO
606,A la comida le faltó un poco de sal.,COMIDA FALTA SAL POQUITO
193,Compraré ropa nueva. Yo estoy a la moda.,ROPA NUEVA YO COMPRAR YO MODA-DE-ROPA
548,Mi carro usa cuatro cilindros.,CUATRO CILINDRO MI CARRO USAR
152,El egipcio no respondió.,HOMBRE EGIPCIO NO RESPONDER
905,Hoy no comí arroz.,HOY YO ARROZ COMER
14,Mi hermano es activo.,MI HERMANO ACTIVO
112,Mi tía cocina delicioso.,MI TÍO+MUJER DELICIOSO COCINAR
53,Mañana será el Baby Shower de Luz.,dm-LUZ BABY-SHOWER MAÑANA
42,El amigo de Juana es árabe.,dm-JUANA SU AMIGO ÁRABE
104,Mi tío tiene una casa en Cuernavaca.,MI TÍO TENER CASA CUERNAVACA
928,Tengo muchos amigos en la escuela.,YO TENER ESCUELA MUCHO AMIGO AMIGO
78,Ayer fui a pasear y me senti muy bien,AYER YO PASEAR SENTIR BIEN
664,Mi mamá me compró un calzón.,MÍ MAMÁ COMPRAR CALZÓN
893,"No puedo decirlo, debo aguantarme.",YO DECIR NO-PODER YO DEBER AGUANTAR
335,Ayer mi hermano lavó su ropa sucia.,AYER SU ROPA SUCIA MI HERMANO LAVAR
192,Mi jefe me pagó la mitad del sueldo.,MI JEFE ÉL PAGAR MÍ SUELDO MITAD
16,Adoro a Jehová.,JEHOVÁ YO ADORAR
966,Yo no fui quien descompuso la computadora.,YO NO-FUI COMPUTADORA NO-SIRVE
567,"Con mucho polvo, yo estornudo mucho.",POLVO YO MUCHO ESTORNUDAR
322,"Yo tuve suerte, lo pude lograr.",YO SUERTE LOGRAR YO PODER
479,Me mandas un mensaje de whatsapp en la noche.,NOCHE MENSAJEAR WHATSAPP TÚ MANDAR MÍ
714,El trombón tiene un sonido muy grave.,TROMBÓN SONIDO GRAVE TENER
138,La Biblioteca de México es muy grande.,MÉXICO BIBLIOTECA GRANDE
181,En la madrugada escuché una explosión.,MADRUGADA EXPLOSIÓN YO ESCUCHAR
329,"Yo comí pulpo, es delicioso.",PULPO YO YA COMER DELICOSO
729,Yo sé leer en idioma inglés.,YO YA SABER LEER INGLÉS IDIOMA
578,Eres un huraño con todos.,TÚ HURAÑO TÚ
238,"No siempre voy a casa, sólo a veces.",A-VECES YO IR CASA SIEMPRE NO
344,Estuviste a salvo de caer en la coladera.,COLADERA TÚ A-SALVO CAER
822,El calendario de la SEP termina en agosto.,SU #SEP CALENDARIO AGOSTO TERMINAR
473,Debes cambiar la llanta del coche.,LLANTA COCHE TÚ DEBER CAMBIAR
628,Alicia viajó a Sudáfrica.,dm-ALICIA YA VIAJAR SUDÁFRICA
83,Santiago guarda en su bolsillo una moneda.,dm-SANTIAGO MONEDA GUARDAR-BOLSILLO
212,En la mochila roja hay dos pañales.,MOCHILA ROJA HABER DOS PAÑAL
349,Mi abuela tiene 90 años.,MÍ ABUELO+MUJER 90 EDAD
855,Mi auto no tiene cinturón de seguridad.,CINTURÓN-DE-SEGURIDAD MI AUTO NO-HAY
554,Ese muchacho es muy buen corredor.,ESE HOMBRE JOVEN BUEN CORREDOR
468,Los colores de la bandera de Irán son verde blanco y rojo.,IRÁN BANDERA COLOR VERDE BLANCO ROJO
596,En la TV hay mucha publicidad.,#TV PUBLICIDAD HABER MUCHO
570,"Mi tío vive en la frontera, en Tijuana.",FRONTERA TIJUANA MÍ TÍO VIVIR
326,Aimé saltó en paracaídas.,dm-AIMÉ SALTAR PARACAIDAS
977,Edgar será maestro.,dm-EDGAR FUTURO MAESTRO
106,El policía cedió el paso a la ambulancia.,POLICÍA AMBULANCIA PASO ÉL CEDER
261,Yo quiero aprender muchas cosas.,YO QUERER APRENDER MUCHO COSA
82,Perdí el suéter blanco.,SUÉTER BLANCO YO PERDER
964,No termino mi tarea todavía.,TODAVÍA MI TAREA YO NO TERMINAR
721,Guerrero es un estado bonito.,GUERRERO ESTADO BONITO
524,Ellos admiran a la cantante Madonna.,CANTAR+MUJER dm-MADONNA ELLOS ADMIRAR ELLA
240,Él ya abusó mucho de mí.,YA MUCHO ÉL ABUSAR YO
22,Ahora tú limpia tu recámara.,AHORA TÚ RECÁMARA TÚ LIMPIAR
173,"Eso no cuesta nada, es gratis.",DINERO NADA ESO GRATIS
544,Mi amiga y su novio van los sábados al casino.,TODOS-SÁBADOS MI AMIGO+MUJER SUYO NOVIO CASINO IR
416,Vamos al parque de Azcapotzalco.,PARQUE ADENTRO AZCAPOTZALCO NOSOTROS IR
374,Yo vivo en la Delegación Álvaro Obregón.,ÁLVARO OBREGÓN YO VIVIR
534,Berlín es la capital de Alemania.,BERLÍN CAPITAL SU ALEMANIA
797,La Universidad Gallaudet es muy famosa.,UNIVERSIDAD GALLAUDET FAMOSA
0,¿Por qué llegaste tarde?,TARDE ¿POR QUÉ?
866,El Congreso aprobó la nueva ley.,CONGRESO NUEVA LEY APROBAR YA
244,"Tú ya debes ser responsable, ya eres un adulto.",TÚ YA DEBER RESPONSABLE TÚ YA ADULTO
760,Ese carro nuevo es muy lujoso.,ESE CARRO NUEVO LUJOSO
782,Hay muchos policías en la manifestación.,MUCHOS POLICÍA HABER MANIFESTACIÓN
838,Mi hermana se casa el próximo domingo.,PRÓXIMO-DOMINGO MI HERMANO+MUJER CASAR
904,Las próximas vacaciones iré de viaje a Ciudad Obregón.,PRÓXIMO VACACIONES YO VIAJAR CIUDAD-OBREGÓN
589,No debes ser malo.,TÚ MALO NO DEBER
648,Los zapatos del payaso son amarillos.,PAYASO ZAPATO SUYO COLOR AMARILLO
771,Ojalá tengas éxito.,OJALÁ TÚ ÉXITO
540,Hay hojas blancas en el cajón.,CAJÓN HOJAS BLANCAS HAY
755,¿Dónde está tu local?,¿DÓNDE TUYO LOCAL?
452,Mi cronómetro se perdió.,MI CRONÓMETRO YA PERDER
119,El domingo me iré a confesar a la iglesia.,DOMINGO IGLESIA YO IR CONFESAR YO
386,Tomás fue un apóstol de Jesús.,dm-TOMÁS APÓSTOL JESÚS
38,"Con Juan, es un asunto aparte.",dm-JUAN ASUNTO APARTE
77,Arturo lee la biblia diariamente.,DIARIO BIBLIA dm-ARTURO LEER
318,"No te enojes, por favor.",TÚ ENOJAR NO POR-FAVOR
615,En la TV vi una noticia fea que pasó en Santiago de Chile.,#TV NOTICIA FEA LUGAR SANTIAGO-DE-CHILE
719,El año pasado viajé a Guanajuato.,AÑO-PASADO YO VIAJAR GUANAJUATO
791,Mi hermana practica snorkeling.,MI HERMANO+MUJER SNORKELING ELLA PRACTICAR
756,Ese hombre parece loco.,ESE HOMBRE LOCO PARECER
979,La sopa está caliente.,SOPA CALIENTE
4,¿Qué te pasó?,¿QUÉ-PASO?
937,El papa regañó a los obispos en México.,MÉXICO PAPA Él REGAÑAR OBISPO
281,"Eso es muy bonito, sí me gusta.",ESO BONITO SÍ YO GUSTAR
953,Mi papá llena el formato para tramitar su licencia de manejo.,MI PAPÁ LLENAR-FORMATO PARA MANEJO LICENCIA TRAMITAR
51,Maribel cursa el nivel avanzado en el diplomado.,dm-MARIBEL DIPLOMA NIVEL AVANZADO
405,Dicen que en Australia hay muchos canguros.,AUSTRALIA DECIR HABER MUCHO CANGURO
15,Adolfo López Mateos fue presidente de México.,ANTES ADOLFO-LÓPEZ-MATEOS ÉL PRESIDENTE MÉXICO
456,"Ya dime la verdad, no eludas la pregunta.",YA TÚ DECIR MÍ NO ELUDIR PREGUNTA
216,Miguel tiene dolor en el pecho.,dm-MIGUEL PECHO ÉL DOLER
108,Mi abuela hace un chocolate muy rico.,MI ABUELO+MUJER HACER RICO CHOCOLATE
662,Brasilia es bonita.,BRASILIA BONITO
228,Juana sabe LSM.,dm-JUANA LSM ELLA SABER
807,La almohada es muy cómoda para dormir.,ALMOHADA CÓMODA ALMOHADA PARA DORMIR
872,Muchas personas creen en el Corán.,MUCHO PERSONA CORÁN ELLOS CREER
250,"Eso es muy suave, parece algodón.",ESE SUAVE PARECE ALGODÓN
946,Mi primo ganó medalla de oro en el maratón.,MARATÓN MI PRIMO MEDALLA ORO YA GANAR
766,"Te aviso, me las vas a pagar.",YO AVISAR TI ME-LA-VAS-A-PAGAR ME-LA-VAS-A-PAGAR
373,Él es un buen alumno.,ÉL BUENO ALUMNO Él
681,Necesito dinero para poder pagar la gasolina.,YO NECESITAR DINERO PAGAR GASOLINA
218,La caja pequeña es de color rojo.,CAJA PEQUEÑA SU COLOR ROJO
674,Le pusieron la corona de olivo.,CORONA-DE-OLIVO ELLOS PONER ÉL
711,La comida tiene mucha grasa.,COMIDA TENER MUCHO GRASA
516,Hay una tortuga en la playa.,PLAYA TORTUGA HABER
357,En la biblia está el nombre de Adán.,BIBLIA DENTRO ADÁN NOMBRE HABER
636,Yo pago con mi tarjeta de crédito.,MI TARJETA-DE-CRÉDITO YO PAGAR
387,¿Cómo haces la seña de apóstoles?,¿CÓMO SEÑA dm-APÓSTOLES?
891,Él abandonó a su hijo.,SU HIJO ÉL ABANDONAR
377,Siempre que rezo digo amén.,YO SIEMPRE ORAR YO DECIR AMÉN
579,Mi compañero de trabajo insiste en hacer una fiesta.,MI COMPAÑERO DENTRO TRABAJO INSISTIR DESEAR DESEAR FIESTA
834,Ella tiene una cara bonita.,ELLA CARA BONITA
148,Él siempre está muy distraído.,SIEMPRE ÉL DISTRAÍDO
231,Esta servilleta está sucia.,ESTA SERVILLETA SUCIA
257,Los animales son muy bonitos en verdad.,ANIMAL DIFERENTES DIFERENTES BONITO VERDAD
623,La semana pasada fui a Plaza Universidad.,"SEMANA PASADA, YO IR PLAZA UNIVERSIDAD"
87,Bosnia y Herzegovina es un país muy lejano.,BOSNIA-HERZEGOVINA ESE PAÍS LEJOS
499,Hoy mi celular ya tiene saldo.,HOY MÍ CELULAR YO YA TENER SALDO
900,Ella tiene cabello lacio.,ELLA TENER CABELLO-LACÍO
532,El año pasado terminé la universidad.,AÑO-PASADO UNIVERSIDAD YO TERMINAR
460,Estonia tiene una frontera con Rusia.,ESTONIA FRONTERA RUSIA
565,En el mercado venden muchas escobas baratas.,MERCADO BARATA MUCHA ESCOBA DIFERENTE VENDER
920,Pablo es flojo.,dm-PABLO FLOJO
783,La policia judicial nos protege.,POLICÍA AGENTE NOSOTROS PROTEGER MÍ
107,Raúl entrena los sábados en CEPAMEX.,TODO-SÁBADO TODO-SÁBADO CEPAMEX dm-RAÚL ENTRENAR
694,Él hace mucho ejercicio para fortalecerse.,ÉL EJERCER EJERCER FORTALECER
594,Mi mamá cocina en la olla express caldo de pollo sabroso.,MI MAMÁ COCINA OLLA-EXPRÉS POLLO CALDO SABROSO
436,La semana pasada compré cinta canela en el Centro.,SEMANA PASADA CINTA CANELA YO COMPRAR CENTRO
605,En la fábrica de Sabritas buscan personal para trabajar.,LUGAR FABRICA SABRITAS HAY TRABAJO PARA PERSONAS
397,La Constitución tiene muchos artículos.,CONSTITUCIÓN TENER MUCHOS ARTÍCULOS
727,Hungría es un país que está muy lejos.,HUNGRÍA ESE PAÍS LEJOS
470,Fui a comprar jabón a la tienda.,YO IR TIENDA COMPRAR JABÓN YA
319,El escudo de la bandera de México es muy bonito.,BANDERA MÉXICO ESCUDO ESE MUCHO BONITO
225,La próxima conferencia será en Monterrey.,PRÓXIMO CONFERENCIA LUGAR MONTERREY
233,María y Daniel van al teatro.,dm-MARÍA dm-DANIEL AMBOS IR TEATRO
689,Mi abuelo tiene un rifle viejo.,MI ABUELO TENER RIFLE VIEJO
762,Ella tiene una lunar bonito.,ELLA TENER LUNAR BONITO
242,Ayer no me dijiste adiós.,AYER ADIÓS TÚ DECIR NADA
693,El cuaderno es feo.,CUADERNO FEO
744,La ley prohíbe robar.,LEY ROBAR PROHIBIR
55,A Mariana le gusta bailar.,dm-MARIANA BAILAR ELLA GUSTAR
381,Antier fui a un concierto de Magneto en el Palacio de los Deportes.,ANTIER PALACIO-DE-LOS-DEPORTES dm-MAGNETO CANTAR AUDITORIO YO IR
896,El payaso usa mucho maquillaje.,PAYASO MUCHO MAQUILLAJE
809,Ayer mi mamá preparó atole.,AYER MAMÁ PREPARAR ATOLE
199,"Me pasé un semáforo, ahora tengo que pagar una multa.",SEMÁFORO LUZ ROJA YO PASAR AHORA MULTA YO DEBER PAGAR
968,"Súbete a la montaña rusa, no seas cobarde.",MONTAÑA RUSA TÚ COBARDE NO
919,Estoy emocionado por ingresar a mi nuevo trabajo.,YO EMOCIONADO NUEVO INGRESAR TRABAJO
974,Miguel fue mi novio.,ANTES dm-MIGUEL NOVIO
28,Sara encontró muchas almejas en el mar.,dm-SARA MUCHA ALMEJA ADENTRO MAR ELLA ENCONTRAR
963,"Mi perro es sumiso, no molesta.",MI PERRO SUMISO MOLESTAR
133,Me gustan las fresas con crema.,FRESAS CON CREMA YO GUSTAR
378,En la iglesia decimos amén.,IGLESIA NOSOTROS-DE-DOS DECIR AMÉN
505,El perro tiene mucha sed.,PERRO MUCHO SED
101,Mi trabajo es muy cansado.,MI TRABAJO MUCHO CANSAR CANSAR
804,Tengo que acostumbrarme a despertarme a correr temprano.,TEMPRANO DESPERTAR CORRER YO DEBER COSTUMBRE
634,Caminemos hacia el sur para encontrar agua.,NOSOTROS CAMINAR A SUR PARA AGUA ENCONTRAR
575,Nosotros abrimos el horno para meter los pasteles.,NOSOTROS ABRIR-HORNO PARA PASTEL
392,Mi novio nació en Argentina.,MI NOVIO NACER LUGAR ARGENTINA
918,Mi viaje a Francia me emocionó.,YO VIAJE FRANCIA YO EMOCIONAR YA
493,El policía persigue a un joven.,POLICÍA PERSEGUIR JOVEN
732,José aprende la lengua de Italia.,dm-JOSÉ APRENDER IDIOMA ITALIA
650,¡Del susto se me escapó el alma!,¡YO ASUSTAR ALMA DESAPARECER!
604,El sábado pasado hubo un grave accidente en la carretera.,PASADO-SÁBADO CARRETERA HABER ACCIDENTE GRAVE
537,Mete en la bolsa las cosas que compraste en la tienda.,COSAS DIFERENTE COMPRAR TIENDA BOLSA-DE-PLÁSTICO METER
506,Él y yo ya nos separamos.,DOS-DE-NOSOTROS YA SEPARAR
