ID	MSLG	SPA
820	TUS OJOS HERMOSOS COLOR CAFÉ	Tú tienes unos hermosos ojos color café.
292	AYER NOCHE METRO CAOS	Anoche el metro era un caos.
407	MI VECINO+MUJER SU HIJO+MUJER TENER AUTISMO	La hija de mi vecina tiene autismo.
542	CARRETILLA-DE-CARGA COSTALES LLEVAR	Lleva los costales en la carretilla.
215	LLOVER TARDE PARECE	Al parecer va a llover en la tarde.
869	¿TÚ CONTESTAR MI PREGUNTA PODER?	¿Puedes contestar mi pregunta?
624	SENADOR GASOLINA AUMENTAR PORQUÉ ÉL EXPLICAR	El senador explica por qué la gasolina está cara.
840	¿TÚ YA CENAR?	¿Ya cenaste?
464	CREDENCIAL VOTAR HABER MI HUELLA	La credencial del INE tiene mi huella.
417	MI PUERTA COLOR AZUL YO YA PINTAR	Pinté mi puerta de color azul.
441	PLAYA MUCHOS COCOS YO ENCONTRAR YA	En la playa encontré muchos cocos.
583	PRÓXIMO AÑO LUGAR LAGO-DE-PÁTZCUARO NOSOTROS VIAJAR	Nosotros viajaremos el próximo año al Lago de Pátzcuaro.
908	YO TENER-CULPA	Yo no tengo la culpa.
932	NAVIDAD ÚLTIMA DOS-DE-NOSOTROS NO-TE-HE-VISTO	No te he visto desde la última navidad.
844	10 MAÑANA NOS-VEMOS METRO CHABACANO	Nos vemos en el metro chabacano a las 10 de la mañana
559	VACUNAS PROTEGER ENFERMEDAD	Las vacunas te protegen de las enfermedades.
66	BARRERAS COMUNICACIÓN QUITAR PODER	Las barreras de comunicación pueden eliminarse.
973	dm-EDGAR MAESTRO	Edgar es maestro.
41	dm-SOFÍA SU PAPÁ+MAMÁ APROVECHARSE-DE APOYO	Sofía se aprovechó del apoyo de sus papás.
733	JAPÓN ESE ISLA BONITO	Japón es una isla bonita.
800	ESO FEO PARECE VULGAR	Eso es feo, parece vulgar.
720	MI TÍO GUATEMALA VIVIR	Mi tío vive en Guatemala.
13	¡JARRÓN YO ROMPER, PERDÓN, ACCIDENTE!	¡Rompí el jarrón, perdón, fue un accidente!
672	SIEMPRE NIÑO SUEÑO	El niño siempre tiene sueño.
141	BLOQUEAR PROTEGER SOL	El bloqueador me protege del sol.
57	BAJA-CALIFORNIA-SUR PLAYA DIFERENTES MUCHO LIMPIO	Las playas de Baja California Sur son muy limpias.
415	ADORNAR NAVIDAD MI ABUELO AYUDAR	Mi abuelo ayuda a la colecta navideña.
655	12% SUELDO YA AUMENTAR	Aumentó el sueldo en un 12%.
785	DIARIO YO MANEJAR CARRO YO DEBER PONER-GASOLINA	Diario manejo mi auto, debo ponerle gasolina.
647	WINDSURF NECESITAR VIENTO MAR	El windsurf necesita del aire para deslizarse.
323	MUCHO ESFUERZO TÚ DEBER META TÚ ALCANZAR	Debes esforzarte mucho para alcanzar tu meta.
697	YO GUSTAR GALLETA DIFERENTE GAMESA	Me gustan las galletas Gamesa.
635	TAIWÁN ISLA	Taiwán es una isla.
450	SEMANA PASADA TUYO CONTROL-DE-VIDEOJUEGO DESCOMPONERSE	Tu control de videojuego se descompuso la semana pasada.
184	MESA NUEVA YO QUERER	Quiero una mesa nueva.
430	CESÁREA YO NACER YA	Yo nací por cesárea.
668	CELAYA MI FAMILIA NOSOTROS-DE-DOS YA IR	MI Mí familia y yo fuimos a Celaya.
518	MUJER TENER VÁGINA	Las mujeres tienen vágina.
811	CASA AZOTEAarriba YO LIMPIAR YA	Yo limpié la azotea de la casa.
682	NUEVO CD YO YA PERDER	Perdí mi nuevo CD.
486	OTRO LIBRO YO TENER	Tengo otro libro.
259	APAGAR LUZ POR-FAVOR	Por favor, apaga la luz.
612	PRÓXIMO AÑO YO IR UNIVERSIDAD ESTUDIAR LUGAR SAN DIEGO	Quiero ir a estudiar el próximo año la universidad en San Diego.
510	PONTE-SUDADERA NOSOTROS IR CORRER	Vamos a correr ponte la sudadera.
685	EFECTIVO NINGÚN YO TRAER	No traigo efectivo.
889	dm-ANA SUYO PERRO ABANDONAR YA	Ana abandonó a su perro.
135	CANCÚN HABER CRUCERO	En Cancún hay un crucero.
200	YO YA VISITAR MURAL dm-DIEGO-RIVERA	Visité el mural de Diego Rivera.
708	GOBIERNO CUIDAR PERSONA	El gobierno cuida a los ciudadanos.
965	ESTADOS UNIDOS DIFÍCIL VIVIR	Vivir en Estados Unidos es difícil.
146	CASA AMIGO DETRÁS MI CASA	La casa de mi amigo está detrás de la mía.
204	TODOS-LUNES ALUMNOS CANTAR HIMNO NACIONAL	Los alumnos cantan el himno nacional los lunes.
972	LLUVIA TUBO ROMPER	Con la lluvia el tubo se rompió.
182	COMIDA MENOS YO QUERER	Yo quiero menos comida.
251	NUEVA ALMOHADA YO YA COMPRAR ¡SUERTE!	Compré una almohada nueva, ¡qué suerte!
863	COMERCIAL MEXICANA YO COMPRAR CENA NAVIDAD	Compraré la cena de Navidad en la Comercial Mexicana.
751	AYER YO PERDER MI LIGA	Ayer perdí mi liga.
850	CHINA HABER MUCHAS PERSONAS	En China hay sobrepoblación.
217	ODONTOLOGÍA YO PENSAR ESTUDIAR	Pienso estudiar odontología.
494	MESA FIERRO PESADO	La mesa de fierro está muy pesada.
939	IMPUESTOS PAGAR TUYO OBLIGACIÓN	Es tu obligación pagar impuestos.
600	RASURADORA YO QUERER COMPRAR	Quiero comprar una rasuradora.
293	BARCO CAPITÁN él INTELIGENTE	El capitán del barco es muy inteligente.
311	ELLOS PERSONA ENFERMO TU ENFRENTARSE TÚ CONTAGIAR PODER	No te juntes con personas enfermas te pueden contagiar.
165	NOSOTROS PARA EXAMEN NOSOTROS ESTUDIAR	Estudiamos para el examen.
412	SEMANA PASADA YO PEDIR AVENTÓN LUGAR CASETA	La semana pasada pedí un aventón a la caseta.
451	SAPO YA CONVERTIR PERSONA PRÍNCIPE	El sapo se convirtió en príncipe.
363	DIARIO MI HERMANO AGENDA REVISAR	Mi hermano revisa su agenda diario.
502	SEXTO-Primaria MI HIJO YA REPROBAR	Mi hijo reprobó el sexto de primaria.
924	MI PRIMO UNIVERSIDAD YA INGRESAR	Mi primo ingresó a la universidad.
541	IGLESIA CAMPANA GRANDE	En la iglesia hay una campana muy grande.
823	¡CAFÉ CALIENTE!	¡El café está muy caliente!
361	ADVENTISTA TODOS-SÁBADOS DESCANSAR ELLOS DIOS ADORAR	Los Adventistas descansan los sábados y adoran a Dios.
619	YO ESTUDIAR HASTA SECUNDARIA DESPUES TRABAJAR YO DESEAR	Voy a estudiar hasta secundaria y después quiero trabajar.
547	NEZAHUALCÓYOTL MUCHO CHOLO	En Nezahualcóyotl hay muchos cholos
43	dm-ROSALÍA TRABAJAR ARCHIVO HOSPITAL	Rosalía trabaja en el archivo del hospital.
307	YO TENER TRABAJO YA CONTENTO YO	Ya tengo trabajo, estoy contento.
931	DOMINGOS DOMINGOS MI CASA NO-HAY-NADIE	No hay nadie en mi casa los domingos.
712	ÉL GRAVE	Él está muy grave.
71	#VGT, #LSFB AMBOS SU LENGUA-DE-SEÑAS SU PAÍS BÉLGICA	En Bélgica hay dos lenguas de señas: VGT y LSFB.
631	SUIZA DIFERENTE DIFERENTE IDIOMA HABLAR	En Suiza se hablan diferentes idiomas.
539	DIARIO PARQUE dm-SALVADOR BOX EJERCER	Salvador entrena box diario en el parque.
536	AÑO-PASADO DICIEMBRE BOGOTÁ MÍ JEFE VIAJAR	En diciembre del año pasado, mi jefe viajó a Bogotá.
256	ESE PROFESOR SIEMPRE AMARGADO ESO ¡FEO!	Ese profesor siempre está amargado, ¡qué feo!
633	CARNE YO COMPRAR SUPERMERCADO	Yo compro carne en el supermercado.
795	SIEMPRE YO ACOSTUMBRAR SUBIR-COCHE TAXI	Acostumbro usar taxi siempre.
747	ESE LIBRO YO GUSTAR	Ese libro me gusta.
446	AYER CINE MI PRIMO YA ÉL CONQUISTAR ELLA MI AMIGO+MUJER	Ayer mi primo conquistó a mi amiga en el cine.
117	CARRERA MEDICINA CONCENTRACIÓN A-FUERZA	La medicina es una carrera que exige concentración.
686	HOSPITALacá TODA ENFERMERA AMABLE	Todas las enfermeras del hospital son muy amables.
110	YO CLAVADO HÁBIL YO	Soy muy bueno para los clavados.
154	MI HERMANO+MUJER YA EMBARAZADA	Mi hermana está embarazada.
358	ADÁN PRIMER HOMBRE MUNDO DIOS HACER	Adán es el primer hombre creado por Dios en el mundo.
348	ABRIL CUMPLEAÑOS MI TÍO+MUJER NOSOTROS HACER FIESTA	El cumpleaños de mi tía es en abril y le haremos fiesta.
806	YO YA COMPRAR NUEVA ALMOHADA PARA CAMA	Compré una almohada nueva para la cama.
876	MALTRATO ANIMAL CRIMEN	El maltrato animal es un crimen.
211	VACACIONES dm-LUIS IR PANAMÁ	Luis fue de vacaciones a Panamá.
346	MI HIJO YO ABANDONAR	Yo abandoné a mi hijo.
913	DESIERTO DIFÍCIL VIVIR	Vivir en el desierto es difícil.
312	AYER ESTE CELULAR YO YA COMPRAR PERO CORRIENTE	Compré este celular ayer pero está muy corriente.
702	AÑO-PASADO MI GENERACIÓN GRADUAR	Mi generación se graduó el año pasado.
63	YO IR BAÑO	Voy al baño.
691	ÉL MI EX NOVIO	Él es mi ex novio.
898	CINE MI AMIGO ÉL BESAR MÍ YA	Mi amigo me besó en el cine.
717	¿TÚ GRUPO NÚMERO CUÁL?	¿Cuál es el número de tu grupo?
419	MAÑANA LIVERPOOL HABER DESCUENTO BOLSA-MANO	Mañana habrá descuentos en bolsas de mano en Liverpool.
399	LUGAR TOKIO SU ASIA	Tokio se ubica en Asia.
208	FRASCO DULCES NO-HAY	No hay dulces en el frasco.
970	TABLE-DANCE MUJER DIFERENTE BAILA MESA	En el table dance, las mujeres bailan sobre la mesa
587	MALETA TÚ PODER LLEVAR	Puedes llevar una maleta.
495	NIÑO NIÑO TENER PIOJO	Los niños tienen piojos.
606	COMIDA FALTA SAL POQUITO	A la comida le faltó un poco de sal.
193	ROPA NUEVA YO COMPRAR YO MODA-DE-ROPA	Compraré ropa nueva. Yo estoy a la moda.
548	CUATRO CILINDRO MI CARRO USAR	Mi carro usa cuatro cilindros.
152	HOMBRE EGIPCIO NO RESPONDER	El egipcio no respondió.
905	HOY YO ARROZ COMER	Hoy no comí arroz.
14	MI HERMANO ACTIVO	Mi hermano es activo.
112	MI TÍO+MUJER DELICIOSO COCINAR	Mi tía cocina delicioso.
53	dm-LUZ BABY-SHOWER MAÑANA	Mañana será el Baby Shower de Luz.
42	dm-JUANA SU AMIGO ÁRABE	El amigo de Juana es árabe.
104	MI TÍO TENER CASA CUERNAVACA	Mi tío tiene una casa en Cuernavaca.
928	YO TENER ESCUELA MUCHO AMIGO AMIGO	Tengo muchos amigos en la escuela.
78	AYER YO PASEAR SENTIR BIEN	Ayer fui a pasear y me senti muy bien
664	MÍ MAMÁ COMPRAR CALZÓN	Mi mamá me compró un calzón.
893	YO DECIR NO-PODER YO DEBER AGUANTAR	No puedo decirlo, debo aguantarme.
335	AYER SU ROPA SUCIA MI HERMANO LAVAR	Ayer mi hermano lavó su ropa sucia.
192	MI JEFE ÉL PAGAR MÍ SUELDO MITAD	Mi jefe me pagó la mitad del sueldo.
16	JEHOVÁ YO ADORAR	Adoro a Jehová.
966	YO NO-FUI COMPUTADORA NO-SIRVE	Yo no fui quien descompuso la computadora.
567	POLVO YO MUCHO ESTORNUDAR	Con mucho polvo, yo estornudo mucho.
322	YO SUERTE LOGRAR YO PODER	Yo tuve suerte, lo pude lograr.
479	NOCHE MENSAJEAR WHATSAPP TÚ MANDAR MÍ	Me mandas un mensaje de whatsapp en la noche.
714	TROMBÓN SONIDO GRAVE TENER	El trombón tiene un sonido muy grave.
138	MÉXICO BIBLIOTECA GRANDE	La Biblioteca de México es muy grande.
181	MADRUGADA EXPLOSIÓN YO ESCUCHAR	En la madrugada escuché una explosión.
329	PULPO YO YA COMER DELICOSO	Yo comí pulpo, es delicioso.
729	YO YA SABER LEER INGLÉS IDIOMA	Yo sé leer en idioma inglés.
578	TÚ HURAÑO TÚ	Eres un huraño con todos.
238	A-VECES YO IR CASA SIEMPRE NO	No siempre voy a casa, sólo a veces.
344	COLADERA TÚ A-SALVO CAER	Estuviste a salvo de caer en la coladera.
822	SU #SEP CALENDARIO AGOSTO TERMINAR	El calendario de la SEP termina en agosto.
473	LLANTA COCHE TÚ DEBER CAMBIAR	Debes cambiar la llanta del coche.
628	dm-ALICIA YA VIAJAR SUDÁFRICA	Alicia viajó a Sudáfrica.
83	dm-SANTIAGO MONEDA GUARDAR-BOLSILLO	Santiago guarda en su bolsillo una moneda.
212	MOCHILA ROJA HABER DOS PAÑAL	En la mochila roja hay dos pañales.
349	MÍ ABUELO+MUJER 90 EDAD	Mi abuela tiene 90 años.
855	CINTURÓN-DE-SEGURIDAD MI AUTO NO-HAY	Mi auto no tiene cinturón de seguridad.
554	ESE HOMBRE JOVEN BUEN CORREDOR	Ese muchacho es muy buen corredor.
468	IRÁN BANDERA COLOR VERDE BLANCO ROJO	Los colores de la bandera de Irán son verde blanco y rojo.
596	#TV PUBLICIDAD HABER MUCHO	En la TV hay mucha publicidad.
570	FRONTERA TIJUANA MÍ TÍO VIVIR	Mi tío vive en la frontera, en Tijuana.
326	dm-AIMÉ SALTAR PARACAIDAS	Aimé saltó en paracaídas.
977	dm-EDGAR FUTURO MAESTRO	Edgar será maestro.
106	POLICÍA AMBULANCIA PASO ÉL CEDER	El policía cedió el paso a la ambulancia.
261	YO QUERER APRENDER MUCHO COSA	Yo quiero aprender muchas cosas.
82	SUÉTER BLANCO YO PERDER	Perdí el suéter blanco.
964	TODAVÍA MI TAREA YO NO TERMINAR	No termino mi tarea todavía.
721	GUERRERO ESTADO BONITO	Guerrero es un estado bonito.
524	CANTAR+MUJER dm-MADONNA ELLOS ADMIRAR ELLA	Ellos admiran a la cantante Madonna.
240	YA MUCHO ÉL ABUSAR YO	Él ya abusó mucho de mí.
22	AHORA TÚ RECÁMARA TÚ LIMPIAR	Ahora tú limpia tu recámara.
173	DINERO NADA ESO GRATIS	Eso no cuesta nada, es gratis.
544	TODOS-SÁBADOS MI AMIGO+MUJER SUYO NOVIO CASINO IR	Mi amiga y su novio van los sábados al casino.
416	PARQUE ADENTRO AZCAPOTZALCO NOSOTROS IR	Vamos al parque de Azcapotzalco.
374	ÁLVARO OBREGÓN YO VIVIR	Yo vivo en la Delegación Álvaro Obregón.
534	BERLÍN CAPITAL SU ALEMANIA	Berlín es la capital de Alemania.
797	UNIVERSIDAD GALLAUDET FAMOSA	La Universidad Gallaudet es muy famosa.
0	TARDE ¿POR QUÉ?	¿Por qué llegaste tarde?
866	CONGRESO NUEVA LEY APROBAR YA	El Congreso aprobó la nueva ley.
244	TÚ YA DEBER RESPONSABLE TÚ YA ADULTO	Tú ya debes ser responsable, ya eres un adulto.
760	ESE CARRO NUEVO LUJOSO	Ese carro nuevo es muy lujoso.
782	MUCHOS POLICÍA HABER MANIFESTACIÓN	Hay muchos policías en la manifestación.
838	PRÓXIMO-DOMINGO MI HERMANO+MUJER CASAR	Mi hermana se casa el próximo domingo.
904	PRÓXIMO VACACIONES YO VIAJAR CIUDAD-OBREGÓN	Las próximas vacaciones iré de viaje a Ciudad Obregón.
589	TÚ MALO NO DEBER	No debes ser malo.
648	PAYASO ZAPATO SUYO COLOR AMARILLO	Los zapatos del payaso son amarillos.
771	OJALÁ TÚ ÉXITO	Ojalá tengas éxito.
540	CAJÓN HOJAS BLANCAS HAY	Hay hojas blancas en el cajón.
755	¿DÓNDE TUYO LOCAL?	¿Dónde está tu local?
452	MI CRONÓMETRO YA PERDER	Mi cronómetro se perdió.
119	DOMINGO IGLESIA YO IR CONFESAR YO	El domingo me iré a confesar a la iglesia.
386	dm-TOMÁS APÓSTOL JESÚS	Tomás fue un apóstol de Jesús.
38	dm-JUAN ASUNTO APARTE	Con Juan, es un asunto aparte.
77	DIARIO BIBLIA dm-ARTURO LEER	Arturo lee la biblia diariamente.
318	TÚ ENOJAR NO POR-FAVOR	No te enojes, por favor.
615	#TV NOTICIA FEA LUGAR SANTIAGO-DE-CHILE	En la TV vi una noticia fea que pasó en Santiago de Chile.
719	AÑO-PASADO YO VIAJAR GUANAJUATO	El año pasado viajé a Guanajuato.
791	MI HERMANO+MUJER SNORKELING ELLA PRACTICAR	Mi hermana practica snorkeling.
756	ESE HOMBRE LOCO PARECER	Ese hombre parece loco.
979	SOPA CALIENTE	La sopa está caliente.
4	¿QUÉ-PASO?	¿Qué te pasó?
937	MÉXICO PAPA Él REGAÑAR OBISPO	El papa regañó a los obispos en México.
281	ESO BONITO SÍ YO GUSTAR	Eso es muy bonito, sí me gusta.
953	MI PAPÁ LLENAR-FORMATO PARA MANEJO LICENCIA TRAMITAR	Mi papá llena el formato para tramitar su licencia de manejo.
51	dm-MARIBEL DIPLOMA NIVEL AVANZADO	Maribel cursa el nivel avanzado en el diplomado.
405	AUSTRALIA DECIR HABER MUCHO CANGURO	Dicen que en Australia hay muchos canguros.
15	ANTES ADOLFO-LÓPEZ-MATEOS ÉL PRESIDENTE MÉXICO	Adolfo López Mateos fue presidente de México.
456	YA TÚ DECIR MÍ NO ELUDIR PREGUNTA	Ya dime la verdad, no eludas la pregunta.
216	dm-MIGUEL PECHO ÉL DOLER	Miguel tiene dolor en el pecho.
108	MI ABUELO+MUJER HACER RICO CHOCOLATE	Mi abuela hace un chocolate muy rico.
662	BRASILIA BONITO	Brasilia es bonita.
228	dm-JUANA LSM ELLA SABER	Juana sabe LSM.
807	ALMOHADA CÓMODA ALMOHADA PARA DORMIR	La almohada es muy cómoda para dormir.
872	MUCHO PERSONA CORÁN ELLOS CREER	Muchas personas creen en el Corán.
250	ESE SUAVE PARECE ALGODÓN	Eso es muy suave, parece algodón.
946	MARATÓN MI PRIMO MEDALLA ORO YA GANAR	Mi primo ganó medalla de oro en el maratón.
766	YO AVISAR TI ME-LA-VAS-A-PAGAR ME-LA-VAS-A-PAGAR	Te aviso, me las vas a pagar.
373	ÉL BUENO ALUMNO Él	Él es un buen alumno.
681	YO NECESITAR DINERO PAGAR GASOLINA	Necesito dinero para poder pagar la gasolina.
218	CAJA PEQUEÑA SU COLOR ROJO	La caja pequeña es de color rojo.
674	CORONA-DE-OLIVO ELLOS PONER ÉL	Le pusieron la corona de olivo.
711	COMIDA TENER MUCHO GRASA	La comida tiene mucha grasa.
516	PLAYA TORTUGA HABER	Hay una tortuga en la playa.
357	BIBLIA DENTRO ADÁN NOMBRE HABER	En la biblia está el nombre de Adán.
636	MI TARJETA-DE-CRÉDITO YO PAGAR	Yo pago con mi tarjeta de crédito.
387	¿CÓMO SEÑA dm-APÓSTOLES?	¿Cómo haces la seña de apóstoles?
891	SU HIJO ÉL ABANDONAR	Él abandonó a su hijo.
377	YO SIEMPRE ORAR YO DECIR AMÉN	Siempre que rezo digo amén.
579	MI COMPAÑERO DENTRO TRABAJO INSISTIR DESEAR DESEAR FIESTA	Mi compañero de trabajo insiste en hacer una fiesta.
834	ELLA CARA BONITA	Ella tiene una cara bonita.
148	SIEMPRE ÉL DISTRAÍDO	Él siempre está muy distraído.
231	ESTA SERVILLETA SUCIA	Esta servilleta está sucia.
257	ANIMAL DIFERENTES DIFERENTES BONITO VERDAD	Los animales son muy bonitos en verdad.
623	SEMANA PASADA, YO IR PLAZA UNIVERSIDAD	La semana pasada fui a Plaza Universidad.
87	BOSNIA-HERZEGOVINA ESE PAÍS LEJOS	Bosnia y Herzegovina es un país muy lejano.
499	HOY MÍ CELULAR YO YA TENER SALDO	Hoy mi celular ya tiene saldo.
900	ELLA TENER CABELLO-LACÍO	Ella tiene cabello lacio.
532	AÑO-PASADO UNIVERSIDAD YO TERMINAR	El año pasado terminé la universidad.
460	ESTONIA FRONTERA RUSIA	Estonia tiene una frontera con Rusia.
565	MERCADO BARATA MUCHA ESCOBA DIFERENTE VENDER	En el mercado venden muchas escobas baratas.
920	dm-PABLO FLOJO	Pablo es flojo.
783	POLICÍA AGENTE NOSOTROS PROTEGER MÍ	La policia judicial nos protege.
107	TODO-SÁBADO TODO-SÁBADO CEPAMEX dm-RAÚL ENTRENAR	Raúl entrena los sábados en CEPAMEX.
694	ÉL EJERCER EJERCER FORTALECER	Él hace mucho ejercicio para fortalecerse.
594	MI MAMÁ COCINA OLLA-EXPRÉS POLLO CALDO SABROSO	Mi mamá cocina en la olla express caldo de pollo sabroso.
436	SEMANA PASADA CINTA CANELA YO COMPRAR CENTRO	La semana pasada compré cinta canela en el Centro.
605	LUGAR FABRICA SABRITAS HAY TRABAJO PARA PERSONAS	En la fábrica de Sabritas buscan personal para trabajar.
397	CONSTITUCIÓN TENER MUCHOS ARTÍCULOS	La Constitución tiene muchos artículos.
727	HUNGRÍA ESE PAÍS LEJOS	Hungría es un país que está muy lejos.
470	YO IR TIENDA COMPRAR JABÓN YA	Fui a comprar jabón a la tienda.
319	BANDERA MÉXICO ESCUDO ESE MUCHO BONITO	El escudo de la bandera de México es muy bonito.
225	PRÓXIMO CONFERENCIA LUGAR MONTERREY	La próxima conferencia será en Monterrey.
233	dm-MARÍA dm-DANIEL AMBOS IR TEATRO	María y Daniel van al teatro.
689	MI ABUELO TENER RIFLE VIEJO	Mi abuelo tiene un rifle viejo.
762	ELLA TENER LUNAR BONITO	Ella tiene una lunar bonito.
242	AYER ADIÓS TÚ DECIR NADA	Ayer no me dijiste adiós.
693	CUADERNO FEO	El cuaderno es feo.
744	LEY ROBAR PROHIBIR	La ley prohíbe robar.
55	dm-MARIANA BAILAR ELLA GUSTAR	A Mariana le gusta bailar.
381	ANTIER PALACIO-DE-LOS-DEPORTES dm-MAGNETO CANTAR AUDITORIO YO IR	Antier fui a un concierto de Magneto en el Palacio de los Deportes.
896	PAYASO MUCHO MAQUILLAJE	El payaso usa mucho maquillaje.
809	AYER MAMÁ PREPARAR ATOLE	Ayer mi mamá preparó atole.
199	SEMÁFORO LUZ ROJA YO PASAR AHORA MULTA YO DEBER PAGAR	Me pasé un semáforo, ahora tengo que pagar una multa.
968	MONTAÑA RUSA TÚ COBARDE NO	Súbete a la montaña rusa, no seas cobarde.
919	YO EMOCIONADO NUEVO INGRESAR TRABAJO	Estoy emocionado por ingresar a mi nuevo trabajo.
974	ANTES dm-MIGUEL NOVIO	Miguel fue mi novio.
28	dm-SARA MUCHA ALMEJA ADENTRO MAR ELLA ENCONTRAR	Sara encontró muchas almejas en el mar.
963	MI PERRO SUMISO MOLESTAR	Mi perro es sumiso, no molesta.
133	FRESAS CON CREMA YO GUSTAR	Me gustan las fresas con crema.
378	IGLESIA NOSOTROS-DE-DOS DECIR AMÉN	En la iglesia decimos amén.
505	PERRO MUCHO SED	El perro tiene mucha sed.
101	MI TRABAJO MUCHO CANSAR CANSAR	Mi trabajo es muy cansado.
804	TEMPRANO DESPERTAR CORRER YO DEBER COSTUMBRE	Tengo que acostumbrarme a despertarme a correr temprano.
634	NOSOTROS CAMINAR A SUR PARA AGUA ENCONTRAR	Caminemos hacia el sur para encontrar agua.
575	NOSOTROS ABRIR-HORNO PARA PASTEL	Nosotros abrimos el horno para meter los pasteles.
392	MI NOVIO NACER LUGAR ARGENTINA	Mi novio nació en Argentina.
918	YO VIAJE FRANCIA YO EMOCIONAR YA	Mi viaje a Francia me emocionó.
493	POLICÍA PERSEGUIR JOVEN	El policía persigue a un joven.
732	dm-JOSÉ APRENDER IDIOMA ITALIA	José aprende la lengua de Italia.
650	¡YO ASUSTAR ALMA DESAPARECER!	¡Del susto se me escapó el alma!
604	PASADO-SÁBADO CARRETERA HABER ACCIDENTE GRAVE	El sábado pasado hubo un grave accidente en la carretera.
537	COSAS DIFERENTE COMPRAR TIENDA BOLSA-DE-PLÁSTICO METER	Mete en la bolsa las cosas que compraste en la tienda.
506	DOS-DE-NOSOTROS YA SEPARAR	Él y yo ya nos separamos.
878	CUBA CALOR	En Cuba hace mucho calor
