ID	MSLG	Por favor, proporciona la secuencia de glosas en MSLG que deseas traducir.
871	dm-SOFÍA COQUETA	Sofía es coqueta.
338	MI AMIGO+MUJER TENER CARRO BONITO	Mi amiga tiene un carro bonito.
824	CALLE MI CASA ELLOS ARREGLAR	Están arreglando la calle de mi casa.
408	AUTO NUEVO MI CUÑADO YA COMPRAR YA	Mi cuñado ya compró un carro nuevo.
827	CALLE MUCHO PERRO	Hay muchos perros en la calle.
76	BENIN HABLAR FRANCÉS	En Benín se habla francés.
781	TÚ YA HACER ADORNOS NAVDIDAD PISTOLA-DE-SILICÓN	Ya hiciste los adornos de Navidad con la pistola de silicón.
750	LICENCIATURA ESTUDIOS #LSM MI HERMANO+MUJER ESTUDIAR	Mi hermana estudia la licenciatura en estudios de LSM.
841	MAÑANA YO CEREAL COMER	Mañana comeré cereal.
249	TÚ ALCANZAR ÉL TÚ YA DEBER	Ya debiste alcanzarlo.
34	PARQUE LUGAR ELLA ANDAR	Ella camina en el parque.
649	MI AMIGO TRABAJAR SIGNIFICA POLICIA AGENTE DEFENSA	Mi amigo trabaja como agente de defensa de la policía.
459	ESA MUJER ESCULTURAL	Esa mujer es escultural.
462	ETIOPÍA BANDERA TENER UNA ESTRELLA	La bandera de Etiopía tiene una estrella.
354	MI MAMÁ SU ACTA-NACIMIENTO YO DAR TI	Te doy el acta de nacimiento de mi mamá.
114	dm-JUAN COLUMNA-VERTEBRAL ÉL DOLER	A Juan le duele la columna vertebral.
670	YO COBRAR YA	Ya cobré.
222	POR-FAVOR DULCE TÚ REGALAR MÍ	Por favor, regálame un dulce.
746	CÁRCEL HOMBRE QUERER SU LIBERTAD	El hombre en la cárcel quiere su libertad.
951	PERFUME SUAVE YO GUSTAR	Me gusta el perfume suave.
879	ENFERMERA HERIDO CUIDAR	La enfermera cuida al herido.
32	MI MAMÁ SENTIR MAL AMBULANCIA TÚ LLAMAR ÉL	Mi mamá se siente mal, llama a una ambulancia.
586	MAÑANA YO HACER-LEVANTAR-PESAS HACER-LEVANTAR-PESAS	Mañana voy a levantar pesas.
593	YO ESPERAR TI RELOJ METRO NATIVITAS NOS-VEMOS	Te espero en el reloj del metro Nativitas, nos vemos.
288	AHORA MAR HABER POCO CALAMAR	Ahora hay pocos calamares en el mar.
33	AMÉRICA YO VIVIR	Vivo en América.
140	DE-AHORA-EN-ADELANTE DIARIO YO IR CORRER	De ahora en adelante, voy a salir a correr todos los días.
815	MI ABUELO TENER MUCHO BORREGO	Mi abuelo tiene muchos borregos.
315	LENTES MI DESAPARECER, YO NO-VER	Mis lentes desaparecieron, no los veo.
910	YO NO HAMBRE DE-TODAS-FORMAS PASTEL YO COMER	No tenía hambre, pero de todas formas me comí el pastel.
653	SOLDADO ARMA ÉL TENER	El soldado tiene un arma.
409	MI JEFE AUTORIDAD SUYO PROYECTO	Mi jefe es la autoridad de su proyecto.
333	¿TÚ SEÑA?	¿Sabes lengua de señas?
150	YO CONFIAR ÉL NO-PODER DOBLE CARA	Confío en él, no puede ser doble cara.
393	YO ARREPENTIR DENTRO NADA	No me arrepiento de nada.
770	YO PASEAR HOY NO-QUERER	No quiero pasear hoy.
189	MI HIJO ÉL MILITAR	Mi hijo es militar.
660	BIGOTE BIEN CUIDAR	Cuida muy bien su bigote.
210	dm-MARÍA SU MAMÁ NO OBEDECER	María no obedece a su mamá.
433	PARQUE CHICHARRÓN CON CHILE YO YA COMPRAR	Compré chicharrón con chile en el parque.
848	DOMINGO CHETUMAL dm-JUAN VACACIONES IR	El domingo, Juan se va de vacaciones a Chetumal.
151	YO NO-GUSTAR SABER SOBRE DROGAS	No me gusta saber sobre las drogas.
432	YO MÁS CHAPARRO DENTRO MI FAMILIA	Soy el más chaparro de mi familia.
556	SEÑORA ESQUINA MUCHO CUBETA VENDER	La señora de la esquina vende muchas cubetas.
551	AYER DOS-DE-NOSOTROS ASUNTO CONFIDENCIAL PLATICAR	Ayer platicamos de un asunto confidencial nosotros dos.
821	YO TENER TRES CAJA ADENTRO ZAPATO CAMAabajo	Tengo tres cajas de zapatos debajo de la cama.
925	AYER MANTEL MOLE MANCHA	Ayer se manchó el mantel con mole.
521	ABANDERADO EQUIPO MEXICO YA IR LUGAR AUSTRIA	El abanderado del equipo mexicano ya fue a Austria.
935	OAXACA ARTESANÍAS HABER	En Oaxaca hay artesanías.
294	BANCO ÉL ROBAR ARRESTADO CÁRCEL	Robó un banco, lo arrestaron y lo metieron a la cárcel.
437	TODAVÍA CIRUGÍA YO CURAR	Todavía me estoy recuperando de la cirugía.
861	COLOMBIA HABER INSTITUTO PARA SORDOS	En Colombia hay un instituto para sordos.
347	ESE ABRIGO CALIENTE	Ese abrigo es calientito.
883	TU PLÁTICA YO NO ESCUCHAR	No escuché tu plática.
917	ELLOS DROMEDARIO AGUA POCA LAMER	Sus dromedarios lamen poca agua.
161	TÚ ESPATULA QUITAR CEMENTO	Quitas el cemento con la espátula.
595	PRÓXIMO-VIERNES MI CASA HABER POSADA	El próximo viernes habrá una posada en mi casa.
171	USA GEL PARA TÚ PEINAR	Usa gel para peinarte.
843	MI PRIMO+MUJER CETIS ELLA ESTUDIAR	Mi prima estudia en el CETIS.
938	CINTURÓN-DE-SEGURIDAD TUYO OBLIGACIÓN	Es obligatorio que uses el cinturón de seguridad.
105	TARDE LLEGAR MAESTRO YO CASTIGAR	Castigué al maestro porque llegó tarde.
810	TODA-NOCHE LOBO AULLAR	El lobo aulló toda la noche.
254	JEFE MI PRIMO UN AMANTE ÉL TENER	El jefe de mi primo tiene un amante.
526	TÚ AGACHAR-CABEZApasar	Agáchate para pasar.
603	PASADO PAÍS SU RUANDA HABER GUERRA MUERTOS MUERTOS	En el pasado, hubo una guerra en Ruanda con muchos muertos.
1	HOLA ¿CÓMO-ESTAR?	Hola, ¿cómo estás?
91	2014 BRASIL LUGAR ENCARGADO MUNDIAL	Brasil fue la sede del Mundial 2014.
420	BOTELLA VERDE MESA POR-FAVOR TU DAR MÍ	Por favor, dame la botella verde de la mesa.
279	YO INVITAR TI BODA, ¿NOSOTROS-DE-DOS IR?	Te invito a la boda, ¿vamos los dos?
330	HOY CUMPLEAÑOS MI ESPOSO YO REGALAR ÉL RADIO	Hoy es el cumpleaños de mi esposo y le regalé un radio.
759	ANTES LUIS-ECHEVERRÍA-ÁLVAREZ PRESIDENTE MÉXICO	Luis Echeverría Álvarez fue presidente de México.
945	¡ORO METAL CARO!	¡El oro es un metal caro!
88	TÚ SIEMPRE CLASE TÚ BOSTEZAR	Tú siempre bostezas en clase.
626	YO GUSTAR SINGAPUR	Me gusta Singapur.
952	POR-FAVOR COSA PONER MESA	Por favor, pon la mesa.
73	BELICE PAÍS HERMOSO	Belice es un país hermoso.
793	TACON MUJER PODER YO ESCUCHAR	Puedo escuchar los tacones de mujer.
789	SECADORA-DE-CABELLO NO-SERVIR	La secadora de cabello no sirve.
713	MI AMIGO GRAVE DENTRO HOSPITAL	Mi amigo está grave en el hospital.
897	MUCHOS MUCHOS NIÑO SACERDOTE BAUTIZAR YA	El sacerdote bautizó a muchísimos niños.
618	ELLA MUJER SECRETARIA GOBIERNO YA LLEGAR	Ya llegó la secretaria de gobierno.
395	dm-ARACELI HACER ARROZ DELICIOSO	Araceli hace un arroz delicioso.
27	dm-JUAN MES PASADO ALEMANIA ÉL YA VIAJAR	Juan viajó a Alemania el mes pasado.
481	FALTA UN MES PARA MI GRADUCACIÓN	Falta un mes para mi graduación.
170	HOY DÍA FRESCO	Hoy hace fresco.
194	MODELAJE ESE BONITO	Ese modelaje es bonito.
457	dm-RAQUEL ENCARGADA COCINA	Raquel es la encargada de la cocina.
474	YA LLEVAR TUYO ROPA	Ya te llevaste tu ropa.
975	dm-JACINTA NIÑO+MUJER PERSONA-NEGRA CABELLO CHINO	Jacinta es una niña negra de cabello chino.
425	CAMARA-FOTOGRÁFICA TÚ NOVIO BONITA	La cámara de tu novio es bonita.
95	MAÑANA BUENAVISTA YO IR	Mañana iré a Buenavista.
149	HOY CARTAS YO DOBLAR	Hoy doblé las cartas.
98	MI HIJO EXCELENTE ESCUELA	Mi hijo está en una escuela excelente.
577	DIARIO CARICATURA HULK dm-LEONOR SUYO SOBRINO VER	El sobrino de Leonor vio una caricatura de Hulk en el periódico.
163	NIÑOS ELLOS ESPIAR JUGAR	Ellos están espiando a los niños jugar.
485	MI ABUELO SUYO PIE OPERAR YA	A mi abuelo ya le operaron el pie.
401	ASOCIACIÓN FUTBOL JUVENIL YO YA AFILAR	Ya me afilié a la asociación de fútbol juvenil.
627	SUBURBIA ROPA YO YA COMPRAR	Ya compré ropa en Suburbia.
17	NOS-VEMOS AEROPUERTO	Nos vemos en el aeropuerto.
205	MI NACIONALIDAD MÉXICO	Soy mexicano.
706	OJALÁ GLORIA ALCANZAR	Ojalá Gloria lo alcance.
874	SEMANA PASADA dm-CPU ELLA ROMPER	La semana pasada ella rompió el CPU.
276	TÚ BAÑAR DIARIO TÚ DEBER PARA LIMPIO BIEN	Debes bañarte a diario para estar bien limpio.
277	ESE HOMBRE BARBA ÉL SÍ HABER ÉL	Ese hombre sí tiene barba.
914	NOTICIA RÁPIDO DIFUNDIR YA	La noticia se difundió rápidamente.
616	HOY YO COMER RESTAURANTE YA SATISFECHO	Hoy comí en el restaurante y quedé satisfecho.
92	BRUJO+MUJER MALO	La bruja es mala.
492	dm-ANTONIO PELÓN JOVEN RARO	Antonio es un joven pelón y raro.
223	ASOCIACIÓN PRESIDENTE NOMBRE dm-LEONARDO	El presidente de la asociación se llama Leonardo.
248	DINERO YO NO ALCANZAR	No me alcanza el dinero.
829	CÁNCER SENO ENFERMAR PODER EVITAR QUITAR	Se puede evitar que quiten el seno en caso de cáncer de mama.
545	LUGAR CENTRO CEPILLO-DE-CARPINTERÍA MÁS-O-MENOS COSTAR $1,000	En el centro, el cepillo de carpintería cuesta más o menos 1,000 pesos.
699	MI AMIGO GAY	Mi amigo gay.
808	HACE-TIEMPO NOSOTROS-DE-DOS AMIGOS	Hace mucho tiempo que somos amigos.
201	HOY AGUACATE CARO	Hoy el aguacate está caro.
389	COMIDA GRATIS YO YA APROVECHAR	Ya aproveché la comida gratis.
926	MICROSCOPIO ESE COSA ANTIGUO	Ese microscopio es antiguo.
191	FERIA TAMAL DÓNDE LUGAR MILPA ALTA	¿Dónde es la feria del tamal en Milpa Alta?
646	MÍ PADRE MORIR ANTES YA VIEJO	Mi padre murió ya de viejo.
833	AYER LIBRO YO FAVORITO TODO CAPÍTULO CAPÍTULO YO LEER	Ayer leí todos los capítulos de mi libro favorito.
157	SÁBADO PASADO MI ABUELO SEPULTAR	El sábado pasado sepultaron a mi abuelo.
940	OBRA TEATRO DIVERTIDO	La obra de teatro es divertida.
267	¿CARNE ASAR TÚ GUSTAR?	¿Te gusta la carne asada?
572	POLICIA GOLPEAR CARA RATERO PARA ESCAPAR NO PODER	El policía golpeó en la cara al ratero para que no pudiera escapar.
698	MAÑANA YO GAS PAGAR	Mañana pagaré el gas.
178	HOY LAPTOP YO COMPRAR	Hoy compré una laptop.
754	YO VER ESA MUJER TRISTE LLORAR	Vi a esa mujer triste llorando.
731	AYER TUYO AMIGO+MUJER TEMPRANO IRSE	Ayer tu amiga se fue temprano.
819	AYER YA YO COMPRAR CAFÉ CON LECHE	Ayer compré un café con leche.
523	MAESTRO TEMA ABURRIDO EXPLICAR EXPLICAR	El maestro explica un tema aburrido.
564	ÉL EDAD 90 EDAD YA ENVEJECER	Él ya está viejo, tiene 90 años.
894	YA dm-JUAN SENTENCIA JUEZ APELAR YA	Juan ya apeló la sentencia del juez.
802	ESTE PELÍCULA ACABAR	Esta película terminó.
388	UNO DENTRO APÓSTOLES, ÉL TRAICIONAR JESÚS YA	Uno de los apóstoles traicionó a Jesús.
511	SUDÁN FRONTERA EGIPTO	Sudán tiene frontera con Egipto.
12	CONTRASEÑA CORRECTA ESCRIBIR YO ACCESO NECESITAR	Necesito escribir la contraseña correcta para acceder.
203	PRÓXIMO MES MI HIJO NACER	El próximo mes nacerá mi hijo.
725	ÁRBOL TENER HOJAS GRANDE	El árbol tiene hojas grandes.
678	SECRETO DIRECTOR YO YA DESCUBRIR	Ya descubrí el secreto del director.
207	YA BOLETOS ESTADIO NO-HAY	Ya no hay boletos para el estadio.
845	METRO CHABACANO CERCA MI CASA	El Metro Chabacano está cerca de mi casa.
175	HOY TEMPRANO YO IR CASA	Hoy temprano fui a casa.
923	AYER-NOCHE YO HORRIBLE SOÑAR	Anoche tuve un sueño horrible.
509	ESCUELA SUDADERA YO DEBER	Debo llevar sudadera a la escuela.
382	MI ABUELO+MUJER SU BAÚL ANTIGUO	El baúl antiguo de mi abuela.
743	VACACIONES LATVIA YO QUERER	Quiero ir de vacaciones a Letonia.
598	ELLOS TRABAJAR USAR-PULIDORA PARA PISO	Ellos están trabajando con una pulidora de pisos.
431	CHAMARRA PIEL VER FORMAL	La chamarra de piel se ve formal.
695	MI CÁMARA BUENA FOTO	Mi cámara toma buenas fotos.
549	COLUMPIO NIÑO MULTITUD GUSTAR	A muchos niños les gustan los columpios.
252	ESE CONTEXTO IMPORTANTE VERDAD	Ese contexto es importante, ¿verdad?
376	ELLA PERSONA AMBICIOSA	Ella es una persona ambiciosa.
907	MI TRABAJO COMPROMISO IMPORTANTE	Tengo un compromiso importante en el trabajo.
639	LLEVAR MI ROPA TINTORERÍA	Llevo mi ropa a la tintorería.
817	PROXIMO-SÁBADO BULGARIA YO VIAJAR	El próximo sábado viajaré a Bulgaria.
74	ALIMENTO DIFERENTE DIFERENTE BENDECIR	Bendice estos diversos alimentos.
342	AHORA POR-FAVOR TÚ PONTE-ROPA	Ahora, por favor, vístete.
21	AHORA dm-SERGIO ÉL LLAMAR AHORA MISMO	Sergio está llamando ahora mismo.
64	ÉL MUCHO DINERO ¡QUÉ-BÁRBARIDAD!	¡Tiene muchísimo dinero, qué barbaridad!
100	PUEBLA MUCHOS CAMOTES YO YA COMER	Comí muchos camotes en Puebla.
24	ESTA FIESTA DIVERTIDA	Esta fiesta está divertida.
950	AYER METRO MI CELULAR PERDER	Ayer perdí mi celular en el metro.
177	JUSTO PARA TODOS	Justicia para todos.
422	CARTA DENTRO BUZÓN YO YA ENCONTRAR	Ya encontré la carta en el buzón.
701	YO YA CONOCER SU FAMILIA ÉL TENER GEMELO	Ya conozco a su familia; él tiene un gemelo.
85	dm-LEONARDO BONDADOSO	Leonardo es bondadoso.
56	AYER NOCHE dm-ISABELA dm-SANTIAGO AMBOS BAILAR	Anoche Isabela y Santiago bailaron.
54	BACALAR YO GUSTAR VISITAR	Me gusta visitar Bacalar.
188	QUIZÁ VIRGEN TÚ ORAR ELLA MILAGRO	Quizás si le rezas a la Virgen, ella haga un milagro.
391	AMBULANCIA ÁREA ÚNICA OBJETIVO ELLOS TENER	Tienen un área exclusiva para la ambulancia.
550	HORNO-DE-MICROONDAS CONECTAR PARA COMIDA CALENTAR	Conecta el microondas para calentar la comida.
414	YA PLATICAR MI AYUDANTE	Ya platiqué con mi ayudante.
504	SALUDAR TUYA ESPOSO+MUJER	Saluda a tu esposa.
162	ESPEJO YO REGALAR	Regalé un espejo.
942	NOSOTROS MUNDO PAZ DEBER ORAR	Debemos orar por la paz del mundo.
40	LEY PERSONAS CON DISCAPACIDAD YA APROBAR	Ya se aprobó la ley de personas con discapacidad.
723	PASTEL YO GUSTAR	Me gusta el pastel.
467	RELEVO INTÉRPRETE POR-FAVOR	Relevo de intérprete, por favor.
779	POLICÍA SIEMPRE SU PATRULLA	El policía siempre está en su patrulla.
529	ALGUNOS SABER MÁS COMPUTADORA	Algunos saben más de computadoras.
